date,SGLY_Open,SGLY_High,SGLY_Low,SGLY_Close,SGLY_Volume,SGLY_Dividends,SGLY_Stock Splits
2009-04-09 00:00:00+00:00,138.5,138.5,115.0,135.0,80,,
2009-04-13 00:00:00+00:00,139.0,139.0,128.0,136.0,8,,
2009-04-14 00:00:00+00:00,119.0,129.5,119.0,123.5,26,,
2009-04-15 00:00:00+00:00,114.0,124.5,114.0,124.5,38,,
2009-04-16 00:00:00+00:00,117.5,126.5,114.5,126.0,60,,
2009-04-17 00:00:00+00:00,132.0,139.5,131.0,135.0,268,,
2009-04-20 00:00:00+00:00,135.0,135.0,135.0,135.0,0,,
2009-04-21 00:00:00+00:00,125.0,129.5,123.0,129.5,744,,
2009-04-22 00:00:00+00:00,127.5,137.0,123.0,123.0,50,,
2009-04-23 00:00:00+00:00,122.0,122.0,116.0,122.0,24,,
2009-04-24 00:00:00+00:00,122.0,122.5,110.0,117.5,154,,
2009-04-27 00:00:00+00:00,120.0,130.0,120.0,122.0,258,,
2009-04-28 00:00:00+00:00,125.0,130.0,110.0,126.0,118,,
2009-04-29 00:00:00+00:00,127.0,135.0,127.0,135.0,180,,
2009-04-30 00:00:00+00:00,139.5,149.5,128.0,142.5,616,,
2009-05-01 00:00:00+00:00,160.0,183.0,150.0,170.0,2018,,
2009-05-04 00:00:00+00:00,182.0,188.5,170.0,170.0,674,,
2009-05-05 00:00:00+00:00,190.0,190.0,154.0,173.0,708,,
2009-05-06 00:00:00+00:00,180.0,187.5,160.0,180.0,374,,
2009-05-07 00:00:00+00:00,190.0,190.0,160.0,160.0,284,,
2009-05-08 00:00:00+00:00,161.0,167.5,160.0,167.5,48,,
2009-05-11 00:00:00+00:00,159.0,169.5,156.0,167.0,240,,
2009-05-12 00:00:00+00:00,154.5,169.5,154.5,169.5,48,,
2009-05-13 00:00:00+00:00,169.5,169.5,169.5,169.5,0,,
2009-05-14 00:00:00+00:00,169.5,169.5,169.5,169.5,0,,
2009-05-15 00:00:00+00:00,157.5,171.0,157.5,160.5,86,,
2009-05-18 00:00:00+00:00,160.5,168.5,151.0,151.0,46,,
